id,year,month,day,hour,minute,second,volt1,volt2,volt3,volt4,volt5,volt6,temp1,temp2,temp3,temp4,temp5,temp6
0,2017,5,26,14,12,43,0.36,0.37,0.39,33.2,33.2,34.67,35.64,36.62,38.57,,,
1,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,37.6
2,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.39,33.2,33.2,34.18,35.64,36.62,38.57
3,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.39,33.2,32.71,34.18,35.64,36.62,38.57
4,2017,5,26,14,12,43,0.33,0.33,0.35,0.36,0.37,0.38,33.2,32.71,34.67,35.64,36.62,38.09
5,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.39,33.2,32.71,34.18,35.64,36.62,38.57
6,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.39,33.2,32.71,34.18,35.64,36.62,38.57
7,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.39,33.2,32.71,34.18,35.64,36.62,38.57
8,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.39,33.2,33.2,34.18,35.64,36.62,38.57
9,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.39,33.2,32.71,34.18,35.64,36.62,38.57
10,2017,5,26,14,12,43,0.33,0.33,0.34,0.35,0.37,0.39,33.2,32.71,34.18,35.16,36.62,38.57
11,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.39,33.2,32.71,34.18,35.64,36.62,38.57
12,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,38.09
13,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.39,33.2,32.71,34.18,35.64,36.62,38.57
14,2017,5,26,14,12,43,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,33.69,35.16,36.62,38.09
15,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,38.09
16,2017,5,26,14,12,43,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,33.69,35.16,36.62,38.09
17,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,38.09
18,2017,5,26,14,12,43,0.33,0.33,0.34,0.35,0.36,0.38,33.2,32.71,33.69,35.16,36.13,38.09
19,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.36,0.39,33.2,32.71,34.18,35.64,36.13,38.57
20,2017,5,26,14,12,43,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,34.18,35.16,36.62,38.09
21,2017,5,26,14,12,43,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,33.69,35.64,36.62,38.09
22,2017,5,26,14,12,43,3.0,0.33,0.34,0.35,0.37,0.39,33.2,32.71,34.18,35.16,36.62,38.57
23,2017,5,26,14,12,44,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,38.09
24,2017,5,26,14,12,45,0.33,0.33,0.34,0.35,0.37,0.39,33.2,32.71,33.69,35.16,36.62,38.57
25,2017,5,26,14,12,46,0.33,0.33,0.34,0.36,0.37,0.39,33.2,32.71,34.18,35.64,36.62,38.57
26,2017,5,26,14,12,47,0.33,0.33,0.34,0.36,0.37,0.39,33.2,32.71,34.18,35.64,36.62,38.57
27,2017,5,26,14,12,48,0.33,0.33,0.34,0.35,0.37,0.39,33.2,32.71,34.18,35.16,36.62,38.57
28,2017,5,26,14,12,49,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,34.18,35.16,36.62,38.09
29,2017,5,26,14,12,50,0.33,0.33,0.34,0.36,0.37,0.39,33.2,32.71,34.18,35.64,36.62,38.57
30,2017,5,26,14,12,51,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,38.09
31,2017,5,26,14,12,52,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,33.69,35.16,36.62,38.09
32,2017,5,26,14,12,53,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,33.69,35.16,36.62,38.09
33,2017,5,26,14,12,54,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,34.18,35.16,36.62,38.09
34,2017,5,26,14,12,55,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,33.69,35.16,36.62,38.09
35,2017,5,26,14,12,56,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,34.18,35.16,36.62,38.09
36,2017,5,26,14,12,57,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,33.69,35.16,36.62,38.09
37,2017,5,26,14,12,58,0.33,0.32,0.34,0.36,0.37,0.38,33.2,32.23,34.18,35.64,36.62,38.09
38,2017,5,26,14,12,59,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,34.18,35.16,36.62,38.09
39,2017,5,26,14,13,0,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,33.69,35.16,36.62,38.09
40,2017,5,26,14,13,1,0.33,0.32,0.34,0.35,0.36,0.38,33.2,32.23,34.18,35.16,36.13,38.09
41,2017,5,26,14,13,2,0.33,0.32,0.34,0.35,0.36,0.38,33.2,32.23,33.69,35.16,36.13,38.09
42,2017,5,26,14,13,3,0.33,0.33,0.34,0.35,0.36,0.38,32.71,32.71,33.69,35.16,36.13,38.09
43,2017,5,26,14,13,4,0.33,0.33,0.34,0.35,0.36,0.38,33.2,32.71,33.69,35.16,36.13,38.09
44,2017,5,26,14,13,5,0.33,0.33,0.34,0.35,0.36,0.38,33.2,32.71,34.18,35.16,36.13,38.09
45,2017,5,26,14,13,6,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,33.69,35.16,36.62,38.09
46,2017,5,26,14,13,7,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,33.69,35.16,36.62,38.09
47,2017,5,26,14,13,8,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,34.18,35.16,36.62,38.09
48,2017,5,26,14,13,9,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
49,2017,5,26,14,13,10,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,38.09
50,2017,5,26,14,13,11,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
51,2017,5,26,14,13,12,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,34.18,35.16,36.62,38.09
52,2017,5,26,14,13,13,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
53,2017,5,26,14,13,14,0.33,0.33,0.34,0.35,0.36,0.38,33.2,32.71,33.69,35.16,36.13,37.6
54,2017,5,26,14,13,15,0.33,0.33,0.34,0.35,0.36,0.38,33.2,32.71,34.18,35.16,36.13,38.09
55,2017,5,26,14,13,16,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,33.69,35.16,36.62,38.09
56,2017,5,26,14,13,17,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
57,2017,5,26,14,13,18,0.33,0.33,0.34,0.35,0.37,0.38,33.2,32.71,34.18,35.16,36.62,38.09
58,2017,5,26,14,13,19,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,38.09
59,2017,5,26,14,13,20,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
60,2017,5,26,14,13,21,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,38.09
61,2017,5,26,14,13,22,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,38.09
62,2017,5,26,14,13,23,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
63,2017,5,26,14,13,24,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,38.09
64,2017,5,26,14,13,25,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
65,2017,5,26,14,13,26,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,33.69,35.64,36.13,38.09
66,2017,5,26,14,13,27,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
67,2017,5,26,14,13,28,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
68,2017,5,26,14,13,29,0.33,0.33,0.34,0.36,0.37,0.38,33.2,32.71,34.18,35.64,36.62,38.09
69,2017,5,26,14,13,30,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
70,2017,5,26,14,13,31,0.33,0.33,0.34,0.36,0.37,0.39,33.2,33.2,34.18,35.64,36.62,38.57
71,2017,5,26,14,13,32,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
72,2017,5,26,14,13,33,0.33,0.33,0.35,0.36,0.36,0.39,33.2,32.71,34.67,35.64,36.13,38.57
73,2017,5,26,14,13,34,0.33,0.33,0.35,0.36,0.36,0.38,33.2,32.71,34.67,35.64,36.13,38.09
74,2017,5,26,14,13,35,0.33,0.33,0.34,0.36,0.36,0.38,33.2,32.71,34.18,35.64,36.13,38.09
75,2017,5,26,14,13,36,0.33,0.33,0.35,0.36,0.37,0.38,33.2,33.2,34.67,35.64,36.62,38.09
76,2017,5,26,14,13,37,0.33,0.33,0.34,0.36,0.36,0.38,33.2,33.2,34.18,35.64,36.13,38.09
77,2017,5,26,14,13,38,0.33,0.33,0.34,0.36,0.37,0.38,33.2,33.2,34.18,35.64,36.62,38.09
78,2017,5,26,14,13,39,0.33,0.33,0.35,0.36,0.36,0.38,32.71,33.2,34.67,35.64,36.13,38.09
79,2017,5,26,14,13,40,0.33,0.33,0.35,0.36,0.37,0.39,32.71,33.2,34.67,36.13,36.62,38.57
80,2017,5,26,14,13,41,0.32,0.33,0.35,0.36,0.36,0.38,32.23,32.71,34.67,35.64,36.13,37.6
81,2017,5,26,14,13,42,0.32,0.33,0.34,0.36,0.36,0.39,31.74,32.71,34.18,35.64,35.64,38.57
82,2017,5,26,14,13,43,0.32,0.33,0.34,0.36,0.37,0.38,31.74,32.71,34.18,35.64,36.62,38.09
83,2017,5,26,14,13,44,0.32,0.33,0.35,0.36,0.36,0.38,31.74,32.71,34.67,35.64,36.13,37.6
84,2017,5,26,14,13,45,0.31,0.33,0.34,0.36,0.36,0.38,31.25,32.71,34.18,35.64,36.13,37.6
85,2017,5,26,14,13,46,0.31,0.33,0.35,0.36,0.36,0.38,31.25,32.71,34.67,35.64,36.13,37.6
86,2017,5,26,14,13,47,0.31,0.33,0.35,0.35,0.36,0.38,31.25,33.2,34.67,35.16,36.13,38.09
87,2017,5,26,14,13,48,0.31,0.33,0.35,0.36,0.37,0.38,31.25,33.2,34.67,35.64,36.62,37.6
88,2017,5,26,14,13,49,0.31,0.33,0.35,0.36,0.36,0.38,30.76,33.2,34.67,35.64,36.13,37.6
89,2017,5,26,14,13,50,0.31,0.33,0.34,0.36,0.36,0.37,30.76,32.71,34.18,35.64,36.13,37.11
90,2017,5,26,14,13,51,0.3,0.33,0.34,0.36,0.36,0.37,30.27,32.71,34.18,35.64,36.13,37.11
